filename,overall_status,overall_score,shot_type,archetype_score,insightface_status,insightface_note,ai_brain_score,ai_brain_status,ai_brain_note,semantic_clip_score,semantic_clip_status,semantic_clip_note,aesthetic_score,aesthetic_status,aesthetic_note,skin_tone_score,skin_tone_status,skin_tone_note,blur_score,blur_status,blur_note,exposure_score,exposure_status,exposure_note,pose_score,pose_status,pose_note,duplicate_status,duplicate_note,reason,category
img_0007.png,REJECT,35.0,half_body,0.39640000462532043,REJECT,sim=0.138 (too low),,PASS,disabled,0.1828,REJECT,clip_sim=0.196 (wrong subject),1.91,REJECT,aesthetic=1.9/10 (low quality),0.2183,PASS,skin_delta=19.5,1.0,PASS,lapvar=499.2,1.0,PASS,black=1.2% white=0.1%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REJECT); aesthetic(REJECT),reject
img_0008.jpg,REJECT,35.0,portrait,0.4237000048160553,REJECT,sim=0.177 (too low),,PASS,disabled,0.3593,REVIEW,clip_sim=0.240,0.81,REJECT,aesthetic=0.8/10 (low quality),0.0911,PASS,skin_delta=22.7,1.0,PASS,lapvar=1003.2,1.0,PASS,black=1.0% white=0.7%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0010.jpg,REJECT,35.0,environmental,0.43140000104904175,REJECT,sim=0.188 (too low),,PASS,disabled,0.2588,REVIEW,clip_sim=0.215,1.92,REJECT,aesthetic=1.9/10 (low quality),0.8075,PASS,skin_delta=4.8,1.0,PASS,lapvar=489.8,1.0,PASS,black=0.7% white=0.2%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0011.jpg,REJECT,35.0,closeup,0.3118000030517578,REJECT,sim=0.017 (too low),,PASS,disabled,0.3643,REVIEW,clip_sim=0.241,2.25,REJECT,aesthetic=2.2/10 (low quality),0.0,REJECT,skin_delta=41.4 (wrong tone),1.0,PASS,lapvar=337.7,0.9882,REVIEW,black=5.5% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REJECT); exposure(REVIEW),reject
img_0014.jpg,REJECT,35.0,half_body,0.33959999680519104,REJECT,sim=0.057 (too low),,PASS,disabled,0.2078,REVIEW,clip_sim=0.202,2.81,REJECT,aesthetic=2.8/10 (low quality),0.7543,PASS,skin_delta=6.1,1.0,PASS,lapvar=748.0,1.0,PASS,black=2.1% white=0.1%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0016.jpg,REJECT,35.0,portrait,0.37470000982284546,REJECT,sim=0.107 (too low),,PASS,disabled,0.3648,REVIEW,clip_sim=0.241,1.66,REJECT,aesthetic=1.7/10 (low quality),0.0,REJECT,skin_delta=32.1 (wrong tone),0.5632,PASS,lapvar=125.7,1.0,PASS,black=1.2% white=0.5%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REJECT),reject
img_0019.jpg,REJECT,35.0,half_body,0.5813000202178955,REVIEW,sim=0.402 qual=1.000,,PASS,disabled,0.4833,PASS,clip_sim=0.271,2.37,REJECT,aesthetic=2.4/10 (low quality),0.0,REJECT,skin_delta=72.2 (wrong tone),1.0,PASS,lapvar=712.8,1.0,PASS,black=0.0% white=0.1%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REVIEW); aesthetic(REJECT); skin(REJECT),reject
img_0021.jpg,REJECT,35.0,environmental,0.2858999967575073,REJECT,sim=-0.020 (too low),,PASS,disabled,0.1464,REJECT,clip_sim=0.187 (wrong subject),1.49,REJECT,aesthetic=1.5/10 (low quality),0.6632,PASS,skin_delta=8.4,1.0,PASS,lapvar=202.1,1.0,PASS,black=3.6% white=0.2%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REJECT); aesthetic(REJECT),reject
img_0024.jpg,REJECT,35.0,half_body,0.2791999876499176,REJECT,sim=-0.030 (too low),,PASS,disabled,0.1901,REJECT,clip_sim=0.198 (wrong subject),2.33,REJECT,aesthetic=2.3/10 (low quality),0.6624,PASS,skin_delta=8.4,0.5233,REVIEW,lapvar=119.0,1.0,PASS,black=0.0% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REJECT); aesthetic(REJECT); blur(REVIEW),reject
img_0024_hazel_gree.jpg,REJECT,35.0,portrait,0.4413999915122986,REJECT,sim=0.202 (too low),,PASS,disabled,0.3332,REVIEW,clip_sim=0.233,2.09,REJECT,aesthetic=2.1/10 (low quality),0.0,REJECT,skin_delta=43.7 (wrong tone),1.0,PASS,lapvar=304.8,0.9963,REVIEW,black=5.1% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REJECT); exposure(REVIEW),reject
img_0025_hazel_gree.jpg,REJECT,35.0,portrait,0.43529999256134033,REJECT,sim=0.193 (too low),,PASS,disabled,0.2682,REVIEW,clip_sim=0.217,3.92,REJECT,aesthetic=3.9/10 (low quality),0.0,REVIEW,skin_delta=30.1,0.904,PASS,lapvar=183.7,1.0,PASS,black=3.4% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REVIEW),reject
img_0027.jpg,REJECT,35.0,closeup,0.35839998722076416,REJECT,sim=0.083 (too low),,PASS,disabled,0.1847,REJECT,clip_sim=0.196 (wrong subject),2.3,REJECT,aesthetic=2.3/10 (low quality),0.0,REJECT,skin_delta=54.2 (wrong tone),1.0,PASS,lapvar=468.2,1.0,PASS,black=2.2% white=1.4%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REJECT); aesthetic(REJECT); skin(REJECT),reject
img_0042.jpg,REJECT,35.0,half_body,0.4512999951839447,REJECT,sim=0.216 (too low),,PASS,disabled,0.2815,REVIEW,clip_sim=0.220,2.05,REJECT,aesthetic=2.0/10 (low quality),0.161,PASS,skin_delta=21.0,0.5062,REVIEW,lapvar=116.0,1.0,PASS,black=1.4% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); blur(REVIEW),reject
img_0043.jpg,REJECT,35.0,half_body,0.33889999985694885,REJECT,sim=0.056 (too low),,PASS,disabled,0.1902,REJECT,clip_sim=0.198 (wrong subject),2.54,REJECT,aesthetic=2.5/10 (low quality),0.4204,PASS,skin_delta=14.5,1.0,PASS,lapvar=233.6,1.0,PASS,black=0.0% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REJECT); aesthetic(REJECT),reject
img_0044.jpg,REJECT,35.0,portrait,0.43230000138282776,REJECT,sim=0.189 (too low),,PASS,disabled,0.2295,REVIEW,clip_sim=0.207,2.85,REJECT,aesthetic=2.9/10 (low quality),0.0,REVIEW,skin_delta=31.6,1.0,PASS,lapvar=827.5,1.0,PASS,black=0.1% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REVIEW),reject
img_0045.jpg,REJECT,35.0,half_body,0.45489999651908875,REJECT,sim=0.221 (too low),,PASS,disabled,0.2418,REVIEW,clip_sim=0.210,2.12,REJECT,aesthetic=2.1/10 (low quality),0.4503,PASS,skin_delta=13.7,1.0,PASS,lapvar=903.3,0.9917,REVIEW,black=5.3% white=0.3%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); exposure(REVIEW),reject
img_0048.jpg,REJECT,35.0,portrait,0.3716000020503998,REJECT,sim=0.102 (too low),,PASS,disabled,0.225,REVIEW,clip_sim=0.206,3.56,REJECT,aesthetic=3.6/10 (low quality),0.1885,PASS,skin_delta=20.3,0.7162,PASS,lapvar=151.8,1.0,PASS,black=2.9% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0049.jpg,REJECT,35.0,environmental,0.29600000381469727,REJECT,sim=-0.006 (too low),,PASS,disabled,0.289,REVIEW,clip_sim=0.222,2.04,REJECT,aesthetic=2.0/10 (low quality),0.5557,PASS,skin_delta=11.1,1.0,PASS,lapvar=280.5,1.0,PASS,black=0.3% white=0.4%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0058.jpg,REJECT,35.0,half_body,0.4880000054836273,REJECT,sim=0.269 (too low),,PASS,disabled,0.4363,PASS,clip_sim=0.259,1.95,REJECT,aesthetic=2.0/10 (low quality),0.4783,PASS,skin_delta=13.0,1.0,PASS,lapvar=827.5,1.0,PASS,black=0.1% white=0.1%,,PASS,mediapipe_unavailable,REVIEW,semantic_near_dup_clip:0.880,archetype(REJECT); aesthetic(REJECT),reject
img_0059.jpg,REJECT,35.0,half_body,0.4713999927043915,REJECT,sim=0.245 (too low),,PASS,disabled,0.43,PASS,clip_sim=0.258,2.04,REJECT,aesthetic=2.0/10 (low quality),0.551,PASS,skin_delta=11.2,1.0,PASS,lapvar=1256.8,1.0,PASS,black=1.7% white=0.4%,,PASS,mediapipe_unavailable,REJECT,semantic_dup_clip:0.933,archetype(REJECT); aesthetic(REJECT),reject
img_0061.jpg,REJECT,35.0,environmental,0.489300012588501,REJECT,sim=0.270 (too low),,PASS,disabled,0.3207,REVIEW,clip_sim=0.230,2.33,REJECT,aesthetic=2.3/10 (low quality),0.0,REVIEW,skin_delta=27.9,1.0,PASS,lapvar=381.9,1.0,PASS,black=0.6% white=0.1%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REVIEW),reject
img_0062.jpg,REJECT,35.0,environmental,0.4925999939441681,REJECT,sim=0.275 (too low),,PASS,disabled,0.2105,REVIEW,clip_sim=0.203,1.95,REJECT,aesthetic=2.0/10 (low quality),0.6233,PASS,skin_delta=9.4,1.0,PASS,lapvar=1962.0,1.0,PASS,black=0.1% white=3.4%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0068.jpg,REJECT,35.0,half_body,0.46399998664855957,REJECT,sim=0.234 (too low),,PASS,disabled,0.212,REVIEW,clip_sim=0.203,2.51,REJECT,aesthetic=2.5/10 (low quality),0.5626,PASS,skin_delta=10.9,1.0,PASS,lapvar=201.7,1.0,PASS,black=2.2% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0069.jpg,REJECT,35.0,half_body,0.46709999442100525,REJECT,sim=0.239 (too low),,PASS,disabled,0.2111,REVIEW,clip_sim=0.203,2.25,REJECT,aesthetic=2.2/10 (low quality),0.6001,PASS,skin_delta=10.0,0.4317,REVIEW,lapvar=103.4,1.0,PASS,black=0.1% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); blur(REVIEW),reject
img_0070.jpg,REJECT,35.0,portrait,0.4447000026702881,REJECT,sim=0.207 (too low),,PASS,disabled,0.1615,REJECT,clip_sim=0.190 (wrong subject),2.5,REJECT,aesthetic=2.5/10 (low quality),0.0,REVIEW,skin_delta=25.2,0.5996,PASS,lapvar=131.9,1.0,PASS,black=0.1% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REJECT); aesthetic(REJECT); skin(REVIEW),reject
img_0072.jpg,REJECT,35.0,half_body,0.476500004529953,REJECT,sim=0.252 (too low),,PASS,disabled,0.239,REVIEW,clip_sim=0.210,2.53,REJECT,aesthetic=2.5/10 (low quality),0.7012,PASS,skin_delta=7.5,0.3505,REVIEW,lapvar=89.6,0.8234,REVIEW,black=12.1% white=0.8%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); blur(REVIEW); exposure(REVIEW),reject
img_0073.jpg,REJECT,35.0,portrait,0.48399999737739563,REJECT,sim=0.263 (too low),,PASS,disabled,0.3074,REVIEW,clip_sim=0.227,2.56,REJECT,aesthetic=2.6/10 (low quality),0.726,PASS,skin_delta=6.8,0.4013,REVIEW,lapvar=98.2,1.0,PASS,black=0.7% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); blur(REVIEW),reject
img_0074.jpg,REJECT,35.0,portrait,0.4717000126838684,REJECT,sim=0.245 (too low),,PASS,disabled,0.2438,REVIEW,clip_sim=0.211,2.6,REJECT,aesthetic=2.6/10 (low quality),0.7152,PASS,skin_delta=7.1,0.4354,REVIEW,lapvar=104.0,1.0,PASS,black=0.6% white=0.1%,,PASS,mediapipe_unavailable,REVIEW,semantic_near_dup_clip:0.856,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); blur(REVIEW),reject
img_0083.jpg,REJECT,35.0,environmental,0.47360000014305115,REJECT,sim=0.248 (too low),,PASS,disabled,0.2778,REVIEW,clip_sim=0.219,2.88,REJECT,aesthetic=2.9/10 (low quality),0.6301,PASS,skin_delta=9.2,1.0,PASS,lapvar=222.4,0.9998,REVIEW,black=5.0% white=0.9%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); exposure(REVIEW),reject
img_0091.jpg,REJECT,35.0,portrait,0.4871000051498413,REJECT,sim=0.267 (too low),,PASS,disabled,0.3282,REVIEW,clip_sim=0.232,2.32,REJECT,aesthetic=2.3/10 (low quality),0.0,REJECT,skin_delta=64.1 (wrong tone),1.0,PASS,lapvar=575.5,0.9687,REVIEW,black=6.3% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REJECT); exposure(REVIEW),reject
img_0093.jpg,REJECT,35.0,environmental,0.46630001068115234,REJECT,sim=0.238 (too low),,PASS,disabled,0.3125,REVIEW,clip_sim=0.228,1.57,REJECT,aesthetic=1.6/10 (low quality),0.5681,PASS,skin_delta=10.8,0.6586,PASS,lapvar=142.0,1.0,PASS,black=0.9% white=1.6%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0095.jpg,REJECT,35.0,environmental,0.4388999938964844,REJECT,sim=0.198 (too low),,PASS,disabled,0.2093,REVIEW,clip_sim=0.202,1.93,REJECT,aesthetic=1.9/10 (low quality),0.2241,PASS,skin_delta=19.4,1.0,PASS,lapvar=207.4,1.0,PASS,black=4.0% white=0.0%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0096.jpg,REJECT,35.0,environmental,0.4431999921798706,REJECT,sim=0.205 (too low),,PASS,disabled,0.3868,REVIEW,clip_sim=0.247,1.87,REJECT,aesthetic=1.9/10 (low quality),0.0,REJECT,skin_delta=36.5 (wrong tone),1.0,PASS,lapvar=838.8,1.0,PASS,black=0.2% white=0.5%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT); skin(REJECT),reject
img_0098.jpg,REJECT,35.0,half_body,0.3573000133037567,REJECT,sim=0.082 (too low),,PASS,disabled,0.3457,REVIEW,clip_sim=0.236,2.11,REJECT,aesthetic=2.1/10 (low quality),0.7364,PASS,skin_delta=6.6,1.0,PASS,lapvar=233.6,1.0,PASS,black=2.1% white=0.1%,,PASS,mediapipe_unavailable,PASS,unique,archetype(REJECT); semantic(REVIEW); aesthetic(REJECT),reject
img_0101.jpg,REJECT,35.0,half_body,0.5835000276565552,REVIEW,sim=0.405 qual=1.000,,PASS,disabled,0.4342,PASS,clip_sim=0.259,2.05,REJECT,aesthetic=2.0/10 (low quality),0.0,REJECT,skin_delta=51.6 (wrong tone),1.0,PASS,lapvar=211.2,1.0,PASS,black=3.2% white=0.2%,,PASS,mediapipe_unavailable,REVIEW,semantic_near_dup_clip:0.865,archetype(REVIEW); aesthetic(REJECT); skin(REJECT),reject
